0: 1, 2, 
2 2 0 0 1  | 2 0 0 1 : 0.671429
2 2 0 0 2  | 2 0 0 2 : 0.642857
2 2 0 1 0  | 2 0 1 0 : 0.639785
2 2 0 1 1  | 2 0 1 1 : 0.509091
2 2 0 1 2  | 2 0 1 2 : 0.473451
2 2 0 2 0  | 2 0 2 0 : 0.180328
2 2 0 2 1  | 2 0 2 1 : 0.137255
2 2 0 2 2  | 2 0 2 2 : 0.250000
2 2 1 0 0  | 2 1 0 0 : 0.626667
2 2 1 0 1  | 2 1 0 1 : 0.647887
2 2 1 0 2  | 2 1 0 2 : 0.515464
2 2 1 1 0  | 2 1 1 0 : 0.546875
2 2 1 1 1  | 2 1 1 1 : 0.524038
2 2 1 1 2  | 2 1 1 2 : 0.314961
2 2 1 2 0  | 2 1 2 0 : 0.301370
2 2 1 2 1  | 2 1 2 1 : 0.121212
2 2 1 2 2  | 2 1 2 2 : 0.212500
2 2 2 0 0  | 2 2 0 0 : 0.819444
2 2 2 0 1  | 2 2 0 1 : 0.513158
2 2 2 0 2  | 2 2 0 2 : 0.826087
2 2 2 1 0  | 2 2 1 0 : 0.751634
2 2 2 1 1  | 2 2 1 1 : 0.355769
2 2 2 1 2  | 2 2 1 2 : 0.722222
2 2 2 2 0  | 2 2 2 0 : 0.235955
2 2 2 2 1  | 2 2 2 1 : 0.096939
2 2 2 2 2  | 2 2 2 2 : 0.229730


3: 2, 
0 0  | 0 : 0.095955
0 1  | 1 : 0.216268
0 2  | 2 : 0.294165
1 0  | 0 : 0.396189
1 1  | 1 : 0.683732
1 2  | 2 : 0.599512
2 0  | 0 : 0.507857
2 1  | 1 : 0.100000
2 2  | 2 : 0.106322


4: 2, 
0 0  | 0 : 0.200602
0 1  | 1 : 0.311005
0 2  | 2 : 0.402114
1 0  | 0 : 0.607823
1 1  | 1 : 0.095694
1 2  | 2 : 0.304330
2 0  | 0 : 0.191575
2 1  | 1 : 0.593301
2 2  | 2 : 0.293556


